time,bid,bidSize,ask,askSize,last,lastSize,prevBidSize,prevAskSize,volume,open,high,low,close
2021-10-25 16:57:04.909154+00:00,122.99,14.0,123.0,10.0,122.99,1.0,2.0,1.0,314260.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:04.962013+00:00,122.99,14.0,123.0,10.0,122.99,1.0,2.0,1.0,314260.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:04.965007+00:00,123.01,1.0,123.02,8.0,123.01,1.0,2.0,3.0,314328.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:04.976977+00:00,122.99,3.0,123.0,1.0,123.0,4.0,5.0,6.0,314352.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:04.988942+00:00,122.99,5.0,123.0,2.0,123.0,4.0,3.0,1.0,314352.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:04.999914+00:00,122.99,9.0,123.0,2.0,123.0,9.0,5.0,1.0,314468.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:05.003905+00:00,122.98,35.0,123.0,6.0,122.99,1.0,3.0,3.0,314484.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:05.241264+00:00,122.98,27.0,123.0,5.0,122.99,1.0,35.0,6.0,314484.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:05.242263+00:00,122.98,27.0,123.0,5.0,122.99,1.0,35.0,6.0,314484.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:05.243260+00:00,122.98,27.0,123.0,5.0,123.0,30.0,35.0,6.0,314514.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:06.824212+00:00,122.98,13.0,123.0,9.0,123.0,30.0,27.0,5.0,314514.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:08.257759+00:00,122.98,13.0,123.0,9.0,123.0,30.0,27.0,5.0,314514.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:08.258766+00:00,122.98,13.0,123.0,9.0,122.99,2.0,27.0,5.0,314514.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:08.260749+00:00,122.98,13.0,123.0,9.0,122.99,2.0,27.0,5.0,314516.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:08.267731+00:00,122.98,35.0,123.0,5.0,123.0,4.0,13.0,9.0,314517.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:08.271721+00:00,122.98,41.0,123.0,4.0,123.0,4.0,35.0,5.0,314521.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:10.102246+00:00,122.98,41.0,123.0,4.0,123.0,4.0,35.0,5.0,314521.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:10.103587+00:00,122.98,41.0,123.0,4.0,123.0,4.0,35.0,5.0,314521.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:10.104232+00:00,122.98,41.0,123.0,4.0,122.98,1.0,35.0,5.0,314522.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:10.106229+00:00,122.98,32.0,123.0,6.0,122.98,1.0,41.0,4.0,314522.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:10.108423+00:00,122.98,32.0,123.0,6.0,122.99,20.0,41.0,4.0,314542.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:10.109218+00:00,122.98,18.0,123.0,13.0,122.99,20.0,32.0,6.0,314542.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:11.021826+00:00,122.98,14.0,123.0,13.0,122.99,20.0,18.0,6.0,314542.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:11.023818+00:00,122.99,3.0,123.0,13.0,122.99,20.0,14.0,6.0,314542.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:12.181920+00:00,122.99,3.0,123.0,13.0,122.99,20.0,14.0,6.0,314542.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:12.183917+00:00,122.99,3.0,123.0,13.0,122.99,6.0,14.0,6.0,314542.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:12.184915+00:00,122.99,3.0,123.0,13.0,122.99,6.0,14.0,6.0,314548.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:12.186910+00:00,122.97,7.0,122.99,2.0,122.99,6.0,3.0,13.0,314548.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:13.624012+00:00,122.97,7.0,122.99,2.0,122.99,6.0,3.0,13.0,314548.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:13.626011+00:00,122.97,7.0,122.99,2.0,122.98,9.0,3.0,13.0,314548.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:13.627007+00:00,122.97,7.0,122.99,3.0,122.98,9.0,3.0,2.0,314557.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:13.629002+00:00,122.97,7.0,122.99,3.0,122.98,9.0,3.0,2.0,314557.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:13.629998+00:00,122.97,8.0,122.99,3.0,122.98,3.0,7.0,2.0,314561.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:14.976157+00:00,122.99,5.0,123.0,14.0,122.98,3.0,8.0,3.0,314561.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:14.977554+00:00,122.99,5.0,123.0,14.0,122.98,3.0,8.0,3.0,314561.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:14.979548+00:00,122.99,5.0,123.0,14.0,123.0,1.0,8.0,3.0,314562.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:15.662717+00:00,122.99,5.0,123.0,14.0,123.0,1.0,8.0,3.0,314563.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:15.663876+00:00,122.99,1.0,123.0,14.0,123.0,1.0,5.0,3.0,314563.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:15.664717+00:00,122.98,1.0,122.99,3.0,123.0,1.0,5.0,14.0,314563.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:15.665335+00:00,122.98,1.0,122.99,3.0,122.98,1.0,5.0,14.0,314564.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:16.040681+00:00,122.98,2.0,122.99,3.0,122.98,1.0,1.0,14.0,314564.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:16.042918+00:00,122.97,7.0,122.99,12.0,122.98,1.0,2.0,3.0,314564.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:16.757356+00:00,122.97,7.0,122.99,12.0,122.98,1.0,2.0,3.0,314564.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:16.758563+00:00,122.97,7.0,122.99,12.0,122.98,1.0,2.0,3.0,314564.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:16.759348+00:00,122.97,7.0,122.99,12.0,122.99,2.0,2.0,3.0,314566.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:17.645053+00:00,122.98,1.0,122.99,11.0,122.99,2.0,7.0,12.0,314566.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:17.646884+00:00,122.98,1.0,122.99,11.0,122.99,2.0,7.0,12.0,314566.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:17.648472+00:00,122.98,1.0,122.99,11.0,122.99,2.0,7.0,12.0,314568.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:24.439769+00:00,122.98,1.0,122.99,11.0,122.98,5.0,7.0,12.0,314568.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:24.444843+00:00,122.98,1.0,122.99,10.0,122.98,5.0,7.0,11.0,314573.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:24.900053+00:00,122.98,1.0,122.99,10.0,122.98,5.0,7.0,11.0,314573.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:24.902004+00:00,122.98,1.0,122.99,10.0,122.99,6.0,7.0,11.0,314573.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:24.902999+00:00,122.98,1.0,122.99,10.0,122.99,6.0,7.0,11.0,314579.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:24.905057+00:00,123.0,14.0,123.02,15.0,122.99,6.0,1.0,10.0,314579.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:24.906986+00:00,122.99,22.0,123.02,19.0,122.99,6.0,14.0,15.0,314579.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:24.908983+00:00,122.99,22.0,123.02,19.0,123.01,6.0,14.0,15.0,314585.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:24.909980+00:00,122.99,23.0,123.02,12.0,123.01,6.0,22.0,19.0,314585.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:24.911972+00:00,122.99,23.0,123.02,12.0,122.99,1.0,22.0,19.0,314586.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:24.914965+00:00,123.0,16.0,123.02,2.0,123.01,4.0,10.0,4.0,314650.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:24.918955+00:00,123.0,16.0,123.02,2.0,123.02,5.0,10.0,4.0,314655.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:24.920947+00:00,123.01,4.0,123.02,3.0,123.02,15.0,16.0,2.0,314670.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:24.923467+00:00,123.01,4.0,123.02,3.0,123.02,1.0,16.0,2.0,314670.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:24.939252+00:00,123.0,8.0,123.01,6.0,123.01,4.0,3.0,4.0,314683.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:25.258449+00:00,123.01,1.0,123.02,5.0,123.01,4.0,8.0,6.0,314683.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:25.260443+00:00,123.01,1.0,123.02,5.0,123.01,4.0,8.0,6.0,314683.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:25.262441+00:00,123.01,1.0,123.02,5.0,123.01,1.0,8.0,6.0,314684.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:25.264613+00:00,123.0,21.0,123.02,6.0,123.01,1.0,1.0,5.0,314684.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:25.918638+00:00,123.0,21.0,123.02,6.0,123.01,1.0,1.0,5.0,314684.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:25.920523+00:00,123.0,21.0,123.02,6.0,123.01,1.0,1.0,5.0,314685.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:25.922518+00:00,123.0,20.0,123.02,5.0,123.01,1.0,21.0,6.0,314685.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:26.485407+00:00,123.0,20.0,123.02,5.0,123.01,1.0,21.0,6.0,314685.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:26.487404+00:00,123.0,20.0,123.02,5.0,123.01,1.0,21.0,6.0,314685.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:26.489396+00:00,123.0,20.0,123.02,5.0,123.0,5.0,21.0,6.0,314690.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:26.895310+00:00,123.0,26.0,123.02,3.0,123.0,5.0,20.0,5.0,314690.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:26.898303+00:00,123.0,26.0,123.02,3.0,123.0,5.0,20.0,5.0,314690.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:26.900305+00:00,123.01,12.0,123.03,3.0,123.02,1.0,26.0,5.0,314691.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:27.509674+00:00,123.01,12.0,123.03,3.0,123.02,1.0,26.0,5.0,314691.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:27.510670+00:00,123.01,12.0,123.03,3.0,123.02,4.0,26.0,5.0,314695.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:27.512669+00:00,123.02,3.0,123.03,2.0,123.02,4.0,12.0,3.0,314695.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:28.103783+00:00,123.02,3.0,123.03,2.0,123.02,4.0,12.0,3.0,314695.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:28.105821+00:00,123.02,3.0,123.03,2.0,123.03,1.0,12.0,3.0,314696.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:28.107778+00:00,123.02,2.0,123.03,2.0,123.03,1.0,3.0,3.0,314696.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:28.689058+00:00,123.02,3.0,123.03,2.0,123.03,1.0,2.0,3.0,314696.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:28.691052+00:00,123.02,3.0,123.03,2.0,123.03,6.0,2.0,3.0,314696.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:28.692049+00:00,123.02,3.0,123.03,2.0,123.03,6.0,2.0,3.0,314702.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:28.694044+00:00,123.01,10.0,123.03,3.0,123.03,6.0,3.0,2.0,314702.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:29.178163+00:00,123.01,20.0,123.03,9.0,123.03,6.0,10.0,3.0,314702.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:29.180704+00:00,123.01,20.0,123.03,9.0,123.01,6.0,10.0,3.0,314702.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:29.182152+00:00,123.01,20.0,123.03,9.0,123.01,6.0,10.0,3.0,314708.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:29.183149+00:00,123.01,15.0,123.03,12.0,123.01,6.0,20.0,9.0,314708.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:29.697835+00:00,123.02,1.0,123.03,8.0,123.01,6.0,15.0,12.0,314708.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:30.580758+00:00,123.01,29.0,123.03,8.0,123.01,6.0,1.0,12.0,314708.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:31.071694+00:00,123.01,31.0,123.03,8.0,123.01,6.0,29.0,12.0,314708.0,120.53,123.46,118.6,119.82
2021-10-25 16:57:31.604584+00:00,123.01,42.0,123.03,8.0,123.01,6.0,31.0,12.0,314708.0,120.53,123.46,118.6,119.82
