time,bid,bidSize,ask,askSize,last,lastSize,prevBidSize,prevAskSize,volume,open,high,low,close
2021-10-22 20:30:59.714021+00:00,119.93,1.0,119.95,2.0,119.91,2.0,nan,3.0,387892.0,120.75,121.56,118.37,119.33
2021-10-22 20:31:00.124090+00:00,119.93,1.0,119.95,2.0,119.91,2.0,nan,3.0,387892.0,120.75,121.56,118.37,119.33
2021-10-22 20:31:00.125100+00:00,119.93,1.0,119.95,2.0,119.93,1.0,nan,3.0,387892.0,120.75,121.56,118.37,119.33
2021-10-22 20:31:00.126093+00:00,119.93,1.0,119.95,2.0,119.93,1.0,nan,3.0,387893.0,120.75,121.56,118.37,119.33
2021-10-22 20:31:23.749217+00:00,119.93,1.0,119.95,2.0,119.93,1.0,nan,3.0,387894.0,120.75,121.56,118.37,119.33
2021-10-22 20:31:35.786556+00:00,119.93,1.0,119.95,1.0,119.93,1.0,nan,2.0,387894.0,120.75,121.56,118.37,119.33
2021-10-22 20:31:46.817798+00:00,119.93,1.0,120.0,57.0,119.93,1.0,nan,1.0,387894.0,120.75,121.56,118.37,119.33
2021-10-22 20:31:53.781344+00:00,119.93,1.0,120.0,57.0,119.93,1.0,nan,1.0,387895.0,120.75,121.56,118.37,119.33
2021-10-22 20:32:08.116856+00:00,119.93,1.0,119.97,1.0,119.93,1.0,nan,57.0,387895.0,120.75,121.56,118.37,119.33
2021-10-22 20:32:12.827460+00:00,119.93,2.0,119.97,1.0,119.93,1.0,1.0,57.0,387895.0,120.75,121.56,118.37,119.33
