bid,bidSize,ask,askSize,last,lastSize,prevBidSize,prevAskSize,volume,open,high,low,close
119.99,1.0,120.0,20.0,119.99,1.0,11.0,6.0,387661.0,120.75,121.56,118.37,119.33
119.99,1.0,120.0,20.0,119.99,1.0,11.0,6.0,387661.0,120.75,121.56,118.37,119.33
119.99,1.0,120.0,20.0,119.99,1.0,11.0,6.0,387662.0,120.75,121.56,118.37,119.33
119.99,1.0,120.0,20.0,119.99,1.0,11.0,6.0,387662.0,120.75,121.56,118.37,119.33
119.99,1.0,120.0,20.0,119.99,1.0,11.0,6.0,387663.0,120.75,121.56,118.37,119.33
119.99,1.0,120.0,20.0,119.99,24.0,11.0,6.0,387663.0,120.75,121.56,118.37,119.33
119.99,1.0,120.0,20.0,119.99,24.0,11.0,6.0,387687.0,120.75,121.56,118.37,119.33
119.99,1.0,120.0,20.0,119.99,24.0,11.0,6.0,387687.0,120.75,121.56,118.37,119.33
119.99,1.0,120.0,20.0,119.99,1.0,11.0,6.0,387688.0,120.75,121.56,118.37,119.33
119.99,1.0,120.0,20.0,119.99,29.0,11.0,6.0,387688.0,120.75,121.56,118.37,119.33
119.99,1.0,120.0,20.0,119.99,29.0,11.0,6.0,387717.0,120.75,121.56,118.37,119.33
119.99,1.0,120.0,20.0,119.99,29.0,11.0,6.0,387717.0,120.75,121.56,118.37,119.33
119.99,1.0,120.0,20.0,119.98,1.0,11.0,6.0,387718.0,120.75,121.56,118.37,119.33
119.94,10.0,119.96,3.0,119.98,1.0,1.0,20.0,387718.0,120.75,121.56,118.37,119.33
119.94,10.0,119.96,3.0,119.97,2.0,1.0,20.0,387718.0,120.75,121.56,118.37,119.33
119.94,10.0,119.96,3.0,119.97,2.0,1.0,20.0,387720.0,120.75,121.56,118.37,119.33
119.94,10.0,119.96,3.0,119.97,2.0,1.0,20.0,387764.0,120.75,121.56,118.37,119.33
119.94,10.0,119.96,8.0,119.97,2.0,1.0,3.0,387764.0,120.75,121.56,118.37,119.33
119.94,10.0,119.96,8.0,119.97,2.0,1.0,3.0,387764.0,120.75,121.56,118.37,119.33
119.9,10.0,120.0,20.0,119.94,8.0,1.0,8.0,387772.0,120.75,121.56,118.37,119.33
119.9,10.0,120.0,20.0,119.94,1.0,1.0,8.0,387772.0,120.75,121.56,118.37,119.33
119.9,10.0,120.0,20.0,119.94,1.0,1.0,8.0,387773.0,120.75,121.56,118.37,119.33
119.9,10.0,120.0,20.0,119.94,1.0,1.0,8.0,387774.0,120.75,121.56,118.37,119.33
119.95,2.0,120.0,20.0,119.94,1.0,10.0,8.0,387774.0,120.75,121.56,118.37,119.33
119.95,12.0,120.0,20.0,119.94,1.0,2.0,8.0,387774.0,120.75,121.56,118.37,119.33
119.95,12.0,120.0,20.0,119.94,1.0,2.0,8.0,387774.0,120.75,121.56,118.37,119.33
119.95,12.0,120.0,20.0,119.95,3.0,2.0,8.0,387777.0,120.75,121.56,118.37,119.33
119.95,9.0,120.0,20.0,119.95,3.0,12.0,8.0,387777.0,120.75,121.56,118.37,119.33
119.95,8.0,120.0,20.0,119.95,3.0,9.0,8.0,387777.0,120.75,121.56,118.37,119.33
119.95,8.0,120.0,21.0,119.95,3.0,9.0,20.0,387777.0,120.75,121.56,118.37,119.33
119.95,8.0,120.0,21.0,119.95,3.0,9.0,20.0,387779.0,120.75,121.56,118.37,119.33
119.95,8.0,120.0,22.0,119.95,3.0,9.0,21.0,387779.0,120.75,121.56,118.37,119.33
119.95,8.0,120.0,22.0,119.95,3.0,9.0,21.0,387779.0,120.75,121.56,118.37,119.33
119.95,8.0,120.0,22.0,119.95,6.0,9.0,21.0,387785.0,120.75,121.56,118.37,119.33
119.94,10.0,120.0,22.0,119.95,2.0,8.0,21.0,387787.0,120.75,121.56,118.37,119.33
119.94,10.0,120.0,21.0,119.95,2.0,8.0,22.0,387787.0,120.75,121.56,118.37,119.33
119.94,10.0,120.0,22.0,119.95,2.0,8.0,21.0,387787.0,120.75,121.56,118.37,119.33
119.94,10.0,119.95,6.0,119.95,2.0,8.0,22.0,387787.0,120.75,121.56,118.37,119.33
119.94,10.0,119.95,6.0,119.95,2.0,8.0,22.0,387788.0,120.75,121.56,118.37,119.33
119.94,10.0,119.95,7.0,119.95,2.0,8.0,6.0,387788.0,120.75,121.56,118.37,119.33
119.94,10.0,119.95,6.0,119.95,2.0,8.0,7.0,387788.0,120.75,121.56,118.37,119.33
