time,bid,bidSize,ask,askSize,last,lastSize,prevBidSize,prevAskSize,volume,open,high,low,close
2021-10-25 16:55:04.556722+00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2021-10-25 16:55:04.594666+00:00,nan,nan,nan,nan,122.9,10.0,nan,nan,nan,nan,nan,nan,nan
2021-10-25 16:55:04.620764+00:00,nan,nan,nan,nan,122.9,10.0,nan,nan,312749.0,nan,123.46,118.6,119.82
2021-10-25 16:55:04.622714+00:00,nan,nan,nan,nan,122.9,10.0,nan,nan,312749.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:04.631688+00:00,122.9,12.0,122.91,9.0,122.9,10.0,nan,nan,312749.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:05.441496+00:00,122.9,12.0,122.91,11.0,122.9,10.0,nan,9.0,312749.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:06.079758+00:00,122.9,12.0,122.91,11.0,122.9,10.0,nan,9.0,312749.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:06.081751+00:00,122.9,12.0,122.91,11.0,122.9,10.0,nan,9.0,312749.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:06.084742+00:00,122.9,12.0,122.91,11.0,122.91,1.0,nan,9.0,312749.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:06.085739+00:00,122.9,12.0,122.91,11.0,122.91,1.0,nan,9.0,312750.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:06.086739+00:00,122.91,24.0,122.92,13.0,122.91,1.0,12.0,11.0,312750.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:06.404004+00:00,122.91,24.0,122.92,13.0,122.91,1.0,12.0,11.0,312750.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:06.405996+00:00,122.91,24.0,122.92,13.0,122.91,1.0,12.0,11.0,312751.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:06.408990+00:00,122.93,3.0,122.94,2.0,122.91,1.0,24.0,13.0,312751.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:06.410984+00:00,122.93,3.0,122.94,2.0,122.91,1.0,24.0,13.0,312751.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:06.411981+00:00,122.93,3.0,122.94,2.0,122.91,1.0,24.0,13.0,312751.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:06.413975+00:00,122.93,3.0,122.94,2.0,122.94,3.0,24.0,13.0,312751.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:06.416968+00:00,122.93,3.0,122.94,2.0,122.94,3.0,24.0,13.0,312754.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:06.417963+00:00,122.93,1.0,122.94,2.0,122.94,3.0,3.0,13.0,312754.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:06.744127+00:00,122.93,1.0,122.94,2.0,122.94,3.0,3.0,13.0,312754.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:06.745123+00:00,122.93,1.0,122.94,2.0,122.93,3.0,3.0,13.0,312754.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:06.746117+00:00,122.93,1.0,122.94,2.0,122.93,3.0,3.0,13.0,312757.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:07.081567+00:00,122.93,1.0,122.94,3.0,122.93,3.0,3.0,2.0,312757.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:07.445870+00:00,122.93,1.0,122.94,3.0,122.93,3.0,3.0,2.0,312757.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:07.446826+00:00,122.93,1.0,122.94,3.0,122.93,1.0,3.0,2.0,312757.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:07.448817+00:00,122.93,1.0,122.94,3.0,122.93,1.0,3.0,2.0,312758.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:07.761551+00:00,122.93,1.0,122.94,3.0,122.93,2.0,3.0,2.0,312758.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:07.763545+00:00,122.93,1.0,122.94,4.0,122.93,2.0,3.0,3.0,312760.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:08.451349+00:00,122.93,1.0,122.94,4.0,122.93,2.0,3.0,3.0,312760.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:08.452342+00:00,122.93,1.0,122.94,4.0,122.93,4.0,3.0,3.0,312760.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:08.454597+00:00,122.93,1.0,122.94,4.0,122.93,4.0,3.0,3.0,312764.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:09.068402+00:00,122.93,2.0,122.94,4.0,122.93,1.0,1.0,3.0,312764.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:09.070398+00:00,122.93,2.0,122.94,4.0,122.93,1.0,1.0,3.0,312765.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:09.390946+00:00,122.92,9.0,122.94,12.0,122.93,1.0,2.0,4.0,312765.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:09.392032+00:00,122.92,9.0,122.94,12.0,122.93,1.0,2.0,4.0,312765.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:09.393939+00:00,122.92,9.0,122.94,12.0,122.93,1.0,2.0,4.0,312765.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:09.395935+00:00,122.92,9.0,122.94,12.0,122.93,1.0,2.0,4.0,312766.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:09.784102+00:00,122.92,9.0,122.94,12.0,122.93,1.0,2.0,4.0,312766.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:09.786092+00:00,122.92,9.0,122.94,12.0,122.93,1.0,2.0,4.0,312766.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:09.787089+00:00,122.92,9.0,122.94,12.0,122.94,1.0,2.0,4.0,312766.0,120.53,123.46,118.6,119.82
2021-10-25 16:55:09.788087+00:00,122.92,9.0,122.94,12.0,122.94,1.0,2.0,4.0,312767.0,120.53,123.46,118.6,119.82
