Time,Bid,BidSize,Ask,AskSize,Last,LastSize,PrevBidSize,PrevAskSize,Volume,Open,High,Low,Close
2021-10-26 13:59:32.999194+00:00,125.01,1.0,125.02,1.0,125.01,3.0,48.0,6.0,115147.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:33.050162+00:00,125.01,1.0,125.02,1.0,125.01,3.0,48.0,6.0,115147.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:33.050366+00:00,125.01,1.0,125.02,1.0,125.03,2.0,48.0,6.0,115147.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:33.050615+00:00,125.01,1.0,125.02,1.0,125.03,2.0,48.0,6.0,115149.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:33.050972+00:00,125.01,2.0,125.04,1.0,125.03,2.0,1.0,6.0,115149.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:33.552479+00:00,125.01,2.0,125.04,1.0,125.03,2.0,1.0,6.0,115149.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:33.552712+00:00,125.01,2.0,125.04,1.0,125.03,1.0,1.0,6.0,115149.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:33.552917+00:00,125.01,2.0,125.04,1.0,125.03,1.0,1.0,6.0,115150.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:33.553494+00:00,124.97,3.0,125.0,15.0,125.03,1.0,2.0,1.0,115150.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:34.227091+00:00,124.97,3.0,125.0,15.0,125.03,1.0,2.0,1.0,115150.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:34.227395+00:00,124.97,3.0,125.0,15.0,124.97,1.0,2.0,1.0,115150.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:34.227755+00:00,124.97,3.0,125.0,15.0,124.97,1.0,2.0,1.0,115151.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:34.228266+00:00,124.97,6.0,125.0,4.0,124.97,1.0,3.0,15.0,115151.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:34.305028+00:00,124.97,18.0,125.02,13.0,124.97,1.0,6.0,4.0,115151.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:34.633016+00:00,124.97,18.0,125.02,13.0,124.97,1.0,6.0,4.0,115151.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:34.633268+00:00,124.97,18.0,125.02,13.0,124.97,1.0,6.0,4.0,115151.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:34.633654+00:00,124.97,18.0,125.02,13.0,124.98,1.0,6.0,4.0,115151.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:34.633853+00:00,124.97,18.0,125.02,13.0,124.98,1.0,6.0,4.0,115152.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:34.634224+00:00,124.97,17.0,125.02,3.0,124.98,1.0,18.0,13.0,115152.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:34.805920+00:00,124.97,17.0,125.02,9.0,124.98,1.0,18.0,3.0,115152.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:35.251691+00:00,124.97,17.0,125.02,9.0,125.0,1.0,18.0,3.0,115152.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:35.251904+00:00,124.97,17.0,125.02,9.0,125.0,1.0,18.0,3.0,115153.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:35.253084+00:00,124.99,3.0,125.03,7.0,125.0,1.0,17.0,9.0,115153.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:35.663717+00:00,124.99,1.0,125.02,2.0,125.0,1.0,3.0,7.0,115153.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:35.808445+00:00,124.98,3.0,125.02,2.0,125.0,1.0,1.0,7.0,115153.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:36.275091+00:00,124.98,3.0,125.02,2.0,125.0,1.0,1.0,7.0,115153.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:36.275361+00:00,124.98,3.0,125.02,2.0,125.0,1.0,1.0,7.0,115153.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:36.275615+00:00,124.98,3.0,125.02,2.0,125.0,6.0,1.0,7.0,115153.0,122.82,125.89,122.82,122.36
2021-10-26 13:59:36.275842+00:00,124.98,3.0,125.02,2.0,125.0,6.0,1.0,7.0,115159.0,122.82,125.89,122.82,122.36
